Area,Description,Emirate,Zone
ABU ABYAD ISLAND,ABU ABYAD ISLAND,ABU DHABI,ZONE K
ABU DHABI BEACH,ABU DHABI BEACH,ABU DHABI,ZONE K
ABU DHABI CITY ZONE 1,ABU DHABI CITY ZONE 1,ABU DHABI,ZONE K
ABU DHABI CITY ZONE 1A,ABU DHABI CITY ZONE 1A,ABU DHABI,ZONE K
ABU DHABI CITY ZONE 2,ABU DHABI CITY ZONE 2,ABU DHABI,ZONE K
ABU DHABI CITY ZONE 2A,ABU DHABI CITY ZONE 2A,ABU DHABI,ZONE K
ABU DHABI CITY ZONE 2B,ABU DHABI CITY ZONE 2B,ABU DHABI,ZONE K
ABU DHABI CITY ZONE 3,ABU DHABI CITY ZONE 3,ABU DHABI,ZONE K
ABU DHABI CITY ZONE 3A,ABU DHABI CITY ZONE 3A,ABU DHABI,ZONE K
ABU DHABI CITY ZONE 4,ABU DHABI CITY ZONE 4,ABU DHABI,ZONE K
ABU DHABI CITY ZONE 5,ABU DHABI CITY ZONE 5,ABU DHABI,ZONE K
ABU DHABI CITY ZONE 6,ABU DHABI CITY ZONE 6,ABU DHABI,ZONE K
ABU DHABI COUNTRY CLUB,ABU DHABI COUNTRY CLUB,ABU DHABI,ZONE K
ABU DHABI GATE CITY,ABU DHABI GATE CITY,ABU DHABI,ZONE K
ABU DHABI GOLF CLUB OUTER,ABU DHABI GOLF CLUB OUTER,ABU DHABI,ZONE K
ABU DHABI INTERNATIONAL AIRPORT,ABU DHABI INTERNATIONAL AIRPORT,ABU DHABI,ZONE K
ABU DHABI INTL AIRPORT,,ABU DHABI,ZONE K
ABU DHABI MUNICIPALITY GARAGE,ABU DHABI MUNICIPALITY GARAGE,ABU DHABI,ZONE K
"ABU DHABI NORTHEAST, TWAZUN,WARSAN FARMS","ABU DHABI NORTHEAST, TWAZUN,WARSAN FARMS",ABU DHABI,ZONE K
ABU DHBAI OUTER-AL AJBAN,ABU DHBAI OUTER-AL AJBAN,ABU DHABI,ZONE K
ABU HAIL,ABU HAIL,DUBAI,ZONE E
ABU HURAYBAH,ABU HURAYBAH,AL AIN,ZONE J
ABU KARAYAH,ABU KARAYAH,AL AIN,ZONE J
ABU KRAYYAH,ABU KRAYYAH,AL AIN,ZONE J
ABU SAMRA,ABU SAMRA,AL AIN,ZONE J
ABU SHAGARA,ABU SHAGARA,SHARJAH,ZONE H
ACADEMIC CITY,ACADEMIC CITY,DUBAI,ZONE F
ADH-AIRPORT ROAD,ADH-AIRPORT ROAD,ABUDHABI,ZONE K
"ADHAN, IDHN","ADHAN, IDHN",FUJAIRAH,ZONE I
ADH-KARAMA,ADH-KARAMA,ABUDHABI,ZONE K
ADH-KHALIDIYA,ADH-KHALIDIYA,ABUDHABI,ZONE K
ADNOC,ADNOC,ABU DHABI,ZONE K
AFLAJ,AFLAJ,AL AIN,ZONE J
AGRICULTURAL FALAH,AGRICULTURAL FALAH,SHARJAH,ZONE H
AIN AL FADYA,AIN AL FADYA,AL AIN,ZONE J
AIN AL FAIDA - AL AIN,AIN AL FAIDA - AL AIN,AL AIN,ZONE J
AIRPORT ROAD,AIRPORT ROAD,SHARJAH,ZONE H
AJBAN FARMS - ABU DHABI,AJBAN FARMS - ABU DHABI,ABU DHABI,ZONE K
AJMAN FREE ZONE,AJMAN FREE ZONE,AJMAN,ZONE I
AJMAN FREEZONE GATE 4,AJMAN FREEZONE GATE 4,AJMAN,ZONE I
AJMAN INDUSTRIAL AREA 1,AJMAN INDUSTRIAL AREA 1,AJMAN,ZONE I
AJMAN INDUSTRIAL AREA 2,AJMAN INDUSTRIAL AREA 2,AJMAN,ZONE I
AKOYA OXYGEN,AKOYA OXYGEN,Dubai,ZONE A
AL AAHAD,AL AAHAD,UMM AL QUWAIN,ZONE I
AL ABAR,AL ABAR,SHARJAH,ZONE H
AL ABRAB,AL ABRAB,UMM AL QUWAIN,ZONE I
AL ADLA,AL ADLA,ABU DHABI,ZONE K
AL AGABIYA AAN,AL AGABIYA AAN,ALAIN,ZONE J
AL AGABIYYA AUH,AL AGABIYYA AUH,ABUDHABI,ZONE K
AL AIN HOSPITAL,AL AIN HOSPITAL,AL AIN,ZONE J
AL AIN INDUSTRIAL AREA - FALAJ HAZZAA MNAIZLAH,AL AIN INDUSTRIAL AREA - FALAJ HAZZAA MNAIZLAH,AL AIN,ZONE J
"AL AIN INDUSTRIAL AREA - SANAIYA, SANIYA","AL AIN INDUSTRIAL AREA - SANAIYA, SANIYA",AL AIN,ZONE J
AL AIN INTERNATIONAL AIRPORT,AL AIN INTERNATIONAL AIRPORT,AL AIN,ZONE J
AL AIN OUTER CITY,AL AIN OUTER CITY,AL AIN,ZONE J
AL AIN OUTER CITY 2,AL AIN OUTER CITY 2,AL AIN,ZONE J
AL AIN OUTER CITY 3,AL AIN OUTER CITY 3,AL AIN,ZONE J
AL AIN ROAD,AL AIN ROAD,DUBAI,ZONE F
AL AJBAN,AL AJBAN,AL AIN,ZONE J
AL ALYA,AL ALYA,AJMAN,ZONE I
AL AMERA,AL AMERA,AJMAN,ZONE I
AL AMRIYA,AL AMRIYA,AL AIN,ZONE J
"AL ANDULUS COMPOUND, AL AIN MALL","AL ANDULUS COMPOUND, AL AIN MALL",AL AIN,ZONE J
AL AQABIYA,AL AQABIYA,AL AIN,ZONE J
"AL AQAH, ADQAT","AL AQAH, ADQAT",FUJAIRAH,ZONE I
AL ARAAD,AL ARAAD,AL AIN,ZONE J
AL ARABI ROAD,AL ARABI ROAD,ABUDHABI,ZONE K
AL ARABI SPORTS AND CULTURAL CLUB,AL ARABI SPORTS AND CULTURAL CLUB,UMM AL QUWAIN,ZONE I
AL ASHRAJ,AL ASHRAJ,AL AIN,ZONE J
AL AWIR,AL AWIR,DUBAI,ZONE F
AL AZRA,AL AZRA,SHARJAH,ZONE H
AL AZRA SCHOOL AREA,AL AZRA SCHOOL AREA,SHARJAH,ZONE H
AL AZRA SHJ,AL AZRA SHJ,SHARJAH,ZONE H
AL BADA,AL BADA,DUBAI,ZONE G
AL BADAA,AL BADAA,DUBAI,ZONE D
AL BADIA,AL BADIA,DUBAI,ZONE G
AL BADIYA,AL BADIYA,FUJAIRAH,ZONE I
AL BAHIA,AL BAHIA,ABU DHABI,ZONE K
AL BAHYA,AL BAHYA,ABUDHABI,ZONE K
AL BANDAR,AL BANDAR,ABUDHABI,ZONE K
AL BARAHA,AL BARAHA,DUBAI,ZONE E
AL BARARI,AL BARARI,DUBAI,ZONE F
AL BARSHA,AL BARSHA,DUBAI,ZONE B
AL BARSHA 1,AL BARSHA 1,DUBAI,ZONE B
AL BARSHA 2,AL BARSHA 2,DUBAI,ZONE B
AL BARSHA 3,AL BARSHA 3,DUBAI,ZONE B
AL BARSHA HEIGHTS,AL BARSHA HEIGHTS,DUBAI,ZONE B
AL BARSHA SOUTH,AL BARSHA SOUTH,DUBAI,ZONE B
"AL BARSHA SOUTH 2 & 3, DUBAI LAND","AL BARSHA SOUTH 2 & 3, DUBAI LAND",DUBAI,ZONE B
"AL BARSHA SOUTH 4, JUMEIRAH VILLAGE CIRCLE","AL BARSHA SOUTH 4, JUMEIRAH VILLAGE CIRCLE",DUBAI,ZONE B
AL BARSHA SOUTH 5,AL BARSHA SOUTH 5,DUBAI,ZONE B
AL BARSHA SOUTH1,AL BARSHA SOUTH1,DUBAI,ZONE B
AL BATAEH,AL BATAEH,SHARJAH,ZONE H
AL BATEEN - 1,AL BATEEN - 1,ABU DHABI,ZONE K
AL BATEEN - 2,AL BATEEN - 2,ABU DHABI,ZONE K
AL BATEEN - ABU DHABI,AL BATEEN - ABU DHABI,ABU DHABI,ZONE K
AL BATEEN - AL AIN,AL BATEEN - AL AIN,AL AIN,ZONE J
AL BATEEN AREA,AL BATEEN AREA,ABUDHABI,ZONE K
AL BATEEN BEACH,AL BATEEN BEACH,ABU DHABI,ZONE K
AL BATEEN PALACE,AL BATEEN PALACE,ABU DHABI,ZONE K
AL BDAIA,AL BDAIA,SHARJAH,ZONE H
AL BITHNAH,AL BITHNAH,FUJAIRAH,ZONE I
AL BITHNAH OUTER,AL BITHNAH OUTER,FUJAIRAH,ZONE I
AL BU DANIQ,AL BU DANIQ,SHARJAH,ZONE H
AL BUHAIRAH,AL BUHAIRAH,SHARJAH,ZONE H
AL BUSTAN-AJMAN,AL BUSTAN-AJMAN,AJMAN,ZONE I
AL CORNICHE,AL CORNICHE,DUBAI,ZONE E
AL DAGHAYA,AL DAGHAYA,DUBAI,ZONE E
